URL,URL Length,Country,Validation Date,Is Shortened,Domain_SPF
www3.telus.net/davidlin/,24,Unknown,2024-04-15,0,0
www3.sympatico.ca/cpyndus,25,Unknown,2024-04-15,0,0
www.angelfire.com/fl5/cfarmsllc/,32,Unknown,2024-04-15,0,0
www.aquaculturecouncilwa.com/marron/introduction,48,Unknown,2024-04-15,0,0
www.bannertown.com/darksea.html,31,Unknown,2024-04-15,0,0
www.angelfire.com/country/aquafarm/,35,Unknown,2024-04-15,0,0
www.angelfire.com/nb/iaa/,25,Unknown,2024-04-15,0,0
agcocorpdealers.com/FLANAGANIMP/,32,Unknown,2024-04-15,0,0
agcocorpdealers.com/ROHLFS/,27,Unknown,2024-04-15,0,0
agcocorpdealers.com/PLEVNA/,27,Unknown,2024-04-15,0,0
www.rkde.com/covista/,21,Unknown,2024-04-15,0,0
www.rkde.com/meadowbridge/,26,Unknown,2024-04-15,0,0
www.holsteins.ca/birkentree,27,Unknown,2024-04-15,0,0
www.holsteins.ca/winterbay,26,Unknown,2024-04-15,0,0
http://goo.gl/8GRT,18,Unknown,2024-04-15,1,1
https://codeforces.com/,23,Unknown,2024-04-15,0,1
https://wiki.csie.ncku.edu.tw/git,33,Unknown,2024-04-15,0,0
https://myppt.cc/IToNEc,23,Unknown,2024-04-15,1,1
https://reurl.cc/6vgnp6,23,Unknown,2024-04-15,1,1
